date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:44:40	294484/294484	U-----	200	untouched ('')	image/jpeg	etag:%22142d2a7c6584d31:0%22	http://skygreenwaste.com/img/service/contact-us-img.jpg	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/img/service/contact-us-img.jpg	(from http://skygreenwaste.com/css/style.css)
16:44:40	215244/215244	U-----	200	untouched ('')	image/jpeg	etag:%22b5a967b6584d31:0%22	http://skygreenwaste.com/img/service/about-us-img.jpg	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/img/service/about-us-img.jpg	(from http://skygreenwaste.com/css/style.css)
16:44:40	4873/4873	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Jun%202018%2011:14:54%20GMT	http://skygreenwaste.com/index,.html	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/index,.1a.delayed	(from http://skygreenwaste.com/team.aspx)
16:44:40	9786/9786	U-----	200	untouched ('')	image/png	etag:%22c172ca766584d31:0%22	http://skygreenwaste.com/img/content-bg.png	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/img/content-bg.png	(from http://skygreenwaste.com/css/style.css)
16:44:41	22346/22346	U-----	200	untouched ('OK')	application/x-javascript	date:Sat,%2022%20Nov%202014%2001:20:46%20GMT	http://skygreenwaste.com/WebResource.axd?d=GhXGayRMYmXebh9wH1_utB_jxbb1kdl29degQ8fAa2Ax6k3ILW7AMIhRnPS1W4RUqd7avx_o4n_Snp08IQm55FOD0oLHwIUSMm0RbI8Hb_Q1&t=635522358465637648	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/WebResource5eff.js	(from http://skygreenwaste.com/contact.aspx)
16:44:41	26951/26951	U-----	200	untouched ('OK')	application/x-javascript	date:Sat,%2022%20Nov%202014%2001:20:46%20GMT	http://skygreenwaste.com/WebResource.axd?d=pJ6qpFb-_CW1EzVh1ZL_diSabCJZw79JQvpaCp_1Kcoh3_cDLsoOlFrtkv4CDdanuujzWy3iHoO1ZPydQzv_gbn20mn3xC2iTHn0WORJXqY1&t=635522358465637648	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/WebResource02c5.js	(from http://skygreenwaste.com/contact.aspx)
16:44:41	7211/7211	U-----	200	untouched ('')	image/jpeg	etag:%2245ccc4776584d31:0%22	http://skygreenwaste.com/img/team.jpg	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/img/team.jpg	(from http://skygreenwaste.com/team.aspx)
16:44:41	54292/54292	U-----	200	untouched ('')	image/png	etag:%2265f3cb776584d31:0%22	http://skygreenwaste.com/img/sustanibility.png	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/img/sustanibility.png	(from http://skygreenwaste.com/sustanibility.aspx)
16:44:42	83914/83914	U-----	200	untouched ('')	image/jpeg	etag:%22bd8ff1e16584d31:0%22	http://skygreenwaste.com/img/blog/1.jpg	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/img/blog/1.jpg	(from http://skygreenwaste.com/blog.aspx)
16:44:42	16269/16269	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2009%20Jun%202018%2011:14:56%20GMT	http://skygreenwaste.com/blog-details.aspx	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/blog-details.html	(from http://skygreenwaste.com/blog.aspx)
16:44:42	4859/4859	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Jun%202018%2011:14:56%20GMT	http://skygreenwaste.com/POST	C:/Users/adiru/OneDrive/Desktop/Computer%20Project%20Practice/SKG/skygreenwaste.com/POST.1b.delayed	(from http://skygreenwaste.com/WebResource.axd?d=GhXGayRMYmXebh9wH1_utB_jxbb1kdl29degQ8fAa2Ax6k3ILW7AMIhRnPS1W4RUqd7avx_o4n_Snp08IQm55FOD0oLHwIUSMm0RbI8Hb_Q1&t=635522358465637648)
